N,P,K,pH,moisture,zone
64.1,28.0,22.9,4.59,16.1,2
202.0,61.7,170.4,6.3,65.2,0
196.7,64.4,156.0,6.27,78.9,0
50.5,22.1,54.1,7.84,30.1,2
174.1,55.3,132.9,5.82,52.6,1
110.6,10.3,86.7,7.51,49.7,2
116.2,33.5,122.4,5.81,52.2,1
215.1,75.9,182.9,6.68,77.3,0
206.4,76.3,177.8,6.42,64.8,0
61.2,30.7,50.1,7.38,35.1,2
164.6,36.2,114.9,5.84,53.9,1
152.8,49.7,105.0,5.74,40.2,1
56.1,21.3,64.8,7.14,28.2,2
49.8,6.5,40.0,4.96,18.9,2
38.1,16.3,35.8,4.59,19.0,2
57.8,19.1,51.9,4.58,16.4,2
206.5,78.7,186.6,6.17,60.6,0
71.3,27.9,28.9,4.93,29.4,2
65.9,27.5,59.7,4.93,34.4,2
173.2,30.6,112.9,5.78,53.7,1
77.5,38.4,48.5,7.79,23.3,2
29.3,5.0,62.0,4.82,21.1,2
169.2,45.6,99.5,5.67,40.7,1
116.9,38.6,61.1,7.14,25.4,2
219.4,76.8,156.2,6.74,77.4,0
62.0,25.5,52.8,7.35,32.0,2
186.1,66.2,162.4,6.6,60.7,0
41.2,13.7,44.1,5.11,16.4,2
65.1,39.0,82.9,7.96,32.8,2
93.6,24.7,53.4,5.09,36.6,2
196.1,62.7,151.4,6.6,72.4,0
208.9,69.9,154.1,6.18,73.7,0
47.0,17.7,32.5,5.4,38.5,2
181.1,67.5,190.5,6.79,63.0,0
125.0,54.9,142.5,5.61,58.7,1
162.6,46.8,123.8,5.82,47.5,1
90.7,26.8,38.5,5.12,21.5,2
146.7,49.2,85.4,5.72,53.5,1
54.1,14.1,74.0,4.73,35.3,2
82.9,11.5,60.8,4.74,37.5,2
199.0,73.4,158.6,6.15,60.8,0
209.6,73.9,185.1,6.29,65.9,0
211.8,72.4,176.7,6.72,75.8,0
132.5,40.1,142.1,5.51,52.6,1
50.0,37.5,90.6,7.77,25.0,2
207.9,66.8,186.2,6.05,66.3,0
25.3,26.1,43.0,4.99,38.2,2
84.8,6.0,49.4,5.12,21.1,2
74.7,16.0,33.4,5.05,21.1,2
184.9,69.9,151.7,6.73,65.2,0
98.1,28.5,66.8,5.09,28.9,2
193.6,62.3,196.2,6.7,65.2,0
161.1,47.5,141.6,5.68,51.5,1
31.3,21.6,32.2,4.85,36.5,2
182.9,67.8,174.0,6.48,65.8,0
100.6,48.8,142.0,5.6,57.6,1
31.9,28.2,46.4,4.95,20.9,2
140.0,36.4,82.7,5.51,43.3,1
89.3,22.7,20.8,4.72,20.1,2
60.3,17.0,23.0,4.53,28.2,2
24.7,21.6,28.3,4.87,28.2,2
183.2,77.9,177.4,6.65,69.0,0
36.2,16.6,35.8,4.76,30.8,2
194.7,67.9,184.8,6.31,69.0,0
159.8,45.1,94.1,5.85,56.7,1
184.7,78.8,181.4,6.27,62.8,0
79.8,26.6,25.0,4.85,17.4,2
63.7,17.1,31.4,5.27,31.2,2
97.3,9.3,67.2,4.8,32.5,2
130.7,49.5,97.9,5.64,57.4,1
73.5,18.1,48.0,5.33,16.7,2
143.7,45.7,132.6,5.83,48.4,1
215.1,67.8,190.8,6.35,67.5,0
186.6,76.3,183.3,6.42,67.2,0
31.2,18.7,30.9,4.75,20.2,2
61.8,35.1,72.9,7.27,41.6,2
22.4,28.1,59.4,5.34,21.4,2
25.3,20.6,24.4,4.84,34.3,2
165.4,51.3,133.1,5.5,47.9,1
110.4,38.0,107.2,5.67,47.8,1
154.5,35.8,117.0,5.54,48.6,1
185.6,76.7,199.2,6.42,63.4,0
216.8,61.2,163.8,6.64,75.0,0
54.9,20.6,23.6,5.23,37.6,2
34.2,28.3,26.7,4.86,32.7,2
217.2,76.6,198.3,6.1,74.6,0
57.5,38.6,43.6,7.37,28.9,2
199.8,73.8,171.7,6.2,76.4,0
75.7,15.1,40.4,4.86,21.3,2
213.2,68.6,162.4,6.49,74.1,0
181.9,79.5,170.3,6.7,75.6,0
120.7,37.2,142.5,5.6,45.2,1
181.6,76.0,181.4,6.07,77.5,0
197.4,65.9,197.4,6.61,62.8,0
188.8,79.8,197.2,6.03,74.1,0
120.6,56.3,126.3,5.72,42.1,1
215.8,64.6,160.7,6.02,73.0,0
168.8,36.9,111.1,5.89,54.7,1
85.8,28.1,67.7,7.85,44.9,2
26.7,16.2,48.4,5.26,20.3,2
68.8,16.0,54.8,7.38,36.7,2
98.6,19.0,67.9,4.79,22.3,2
42.2,13.4,66.2,5.39,20.8,2
215.6,71.9,184.0,6.63,70.0,0
62.3,13.6,40.9,5.25,33.9,2
102.7,31.8,142.5,5.56,50.1,1
94.8,14.6,66.2,4.74,38.8,2
53.0,7.8,56.2,5.34,30.9,2
42.2,9.2,42.4,5.22,24.4,2
112.8,17.7,53.2,7.22,45.8,2
187.1,64.4,159.3,6.62,67.0,0
86.2,25.6,64.2,4.9,29.7,2
71.9,22.3,52.6,7.98,39.4,2
29.5,22.6,51.4,4.76,26.8,2
73.0,11.5,24.8,5.39,18.7,2
95.2,32.4,53.9,7.46,28.1,2
41.4,10.9,23.7,4.91,32.6,2
36.0,14.3,23.0,4.86,27.3,2
43.4,27.5,68.3,5.39,21.2,2
145.8,46.3,118.7,5.74,52.9,1
93.8,34.2,44.1,7.4,29.4,2
138.5,32.3,108.1,5.66,41.3,1
206.0,64.0,184.0,6.06,60.6,0
56.8,5.3,24.8,4.73,15.7,2
172.5,38.1,139.2,5.62,57.3,1
121.8,55.4,145.1,5.56,48.8,1
208.2,64.3,156.8,6.01,67.0,0
33.2,17.0,60.8,5.13,30.6,2
213.0,62.6,166.8,6.59,63.2,0
47.9,24.2,52.7,5.24,30.2,2
41.8,15.4,77.8,4.56,27.4,2
26.1,21.7,42.6,5.24,30.8,2
174.1,31.3,91.4,5.55,53.8,1
61.3,39.0,52.3,7.77,36.4,2
28.3,19.1,52.1,4.71,30.3,2
212.7,76.6,175.4,6.01,65.7,0
22.0,19.5,58.9,5.12,17.9,2
49.1,15.4,21.8,4.73,15.8,2
110.8,50.2,107.9,5.67,53.6,1
52.8,15.3,51.9,5.13,31.9,2
136.2,44.1,91.4,5.88,56.1,1
40.6,21.7,53.5,5.22,32.6,2
32.2,7.0,48.6,4.77,28.5,2
111.9,51.4,115.3,5.77,40.8,1
195.9,62.7,178.4,6.55,76.0,0
47.1,25.0,75.2,4.67,23.9,2
68.7,22.8,63.5,4.97,16.6,2
55.1,5.5,37.8,4.95,16.3,2
188.2,62.2,163.5,6.05,70.6,0
154.4,55.3,123.9,5.8,43.0,1
155.0,30.1,122.8,5.64,55.1,1
215.5,79.1,193.1,6.65,73.1,0
119.4,35.7,45.8,7.74,30.4,2
45.6,21.2,55.1,5.04,31.4,2
100.9,42.2,100.4,5.69,51.0,1
170.0,43.0,93.4,5.65,47.9,1
122.0,36.1,146.1,5.5,59.0,1
59.9,27.6,71.7,4.59,24.4,2
74.6,37.3,74.1,7.79,44.4,2
116.2,19.4,91.5,7.22,41.2,2
80.1,32.5,94.8,7.61,25.4,2
73.1,28.4,26.0,4.51,25.4,2
66.0,14.6,39.9,4.61,24.4,2
40.5,26.3,72.8,4.77,20.5,2
90.4,10.8,40.9,4.59,20.3,2
75.4,18.4,41.2,5.32,15.5,2
103.9,54.5,147.7,5.82,56.2,1
76.4,36.3,94.3,7.54,29.9,2
174.3,44.7,108.2,5.82,55.9,1
91.4,14.0,52.4,4.55,25.2,2
202.0,68.8,194.4,6.28,62.3,0
197.0,69.0,158.2,6.64,73.9,0
26.7,19.6,72.0,5.29,30.8,2
214.9,78.6,178.3,6.56,78.4,0
162.3,55.9,109.9,5.86,47.2,1
187.0,73.8,169.3,6.75,62.8,0
141.2,58.3,88.7,5.51,54.6,1
182.7,75.0,160.5,6.72,64.1,0
40.0,5.2,62.7,4.98,35.1,2
53.2,18.9,69.1,5.22,35.8,2
67.0,25.9,54.0,4.81,34.3,2
44.9,6.4,65.2,5.13,23.0,2
74.2,11.6,52.3,7.48,26.6,2
54.6,25.1,29.5,4.52,25.8,2
219.7,61.5,177.7,6.78,70.5,0
161.0,44.5,80.8,5.5,46.8,1
210.3,60.5,151.1,6.26,69.8,0
20.8,22.2,61.7,5.06,38.8,2
170.6,57.4,141.6,5.67,54.8,1
55.9,21.2,60.0,4.84,37.6,2
163.4,46.6,115.4,5.62,57.7,1
175.7,45.4,96.7,5.7,52.9,1
89.1,24.9,33.3,4.86,24.8,2
181.5,71.9,161.5,6.1,61.5,0
109.3,41.9,137.9,5.65,50.9,1
96.9,18.1,36.2,5.14,21.5,2
106.4,51.1,114.3,5.67,53.9,1
50.1,24.4,68.6,4.85,26.0,2
73.4,14.5,64.6,4.91,24.9,2
198.7,72.3,158.4,6.79,64.6,0
204.5,62.8,164.6,6.29,69.1,0
62.0,5.8,48.1,4.87,18.9,2
32.7,21.2,30.6,5.12,20.5,2
101.9,30.3,55.1,7.89,25.1,2
43.5,7.2,55.3,5.06,30.6,2
85.3,17.6,65.7,4.71,23.3,2
159.0,43.7,84.0,5.88,57.9,1
40.8,5.0,71.4,5.21,30.1,2
64.7,12.5,58.6,4.71,15.3,2
198.2,72.4,163.9,6.15,69.3,0
52.5,10.8,59.7,5.24,31.2,2
58.4,27.1,22.4,4.76,20.0,2
145.8,45.0,132.4,5.61,46.7,1
115.6,46.4,112.0,5.89,51.6,1
104.9,55.6,110.9,5.7,51.9,1
208.9,65.6,151.2,6.52,63.5,0
194.7,72.6,181.7,6.43,61.8,0
85.1,8.5,69.1,4.99,35.3,2
34.7,5.6,36.8,4.9,29.8,2
187.4,70.8,193.6,6.59,76.1,0
186.9,77.9,154.0,6.42,68.2,0
192.9,70.4,185.2,6.29,79.4,0
29.7,17.4,34.5,4.82,38.7,2
208.3,76.7,184.9,6.54,72.4,0
123.9,37.5,93.4,5.52,46.5,1
84.4,19.7,42.0,4.73,17.5,2
107.8,41.6,135.2,5.58,50.5,1
218.8,61.9,183.6,6.36,77.4,0
161.3,58.0,94.1,5.71,45.5,1
37.3,19.3,35.6,5.1,34.6,2
173.7,48.6,109.1,5.75,54.9,1
115.4,40.0,103.2,5.89,56.3,1
122.6,35.9,132.6,5.65,49.7,1
192.9,68.5,175.4,6.19,62.3,0
197.6,61.6,151.3,6.77,76.7,0
109.5,56.2,84.6,5.71,42.7,1
38.5,10.3,76.6,5.05,28.4,2
180.8,66.4,160.6,6.26,62.4,0
64.3,24.1,88.1,7.26,23.3,2
149.7,31.6,131.7,5.63,40.0,1
79.5,25.9,49.5,5.16,29.9,2
61.8,35.6,40.8,7.56,43.1,2
202.0,74.3,183.0,6.22,79.1,0
43.2,10.0,65.2,4.73,35.8,2
210.9,64.0,150.3,6.65,74.1,0
207.8,70.9,162.6,6.28,63.6,0
205.7,61.7,158.1,6.72,72.1,0
178.5,55.5,123.0,5.73,51.8,1
157.9,47.9,93.0,5.64,54.9,1
190.9,60.4,195.7,6.09,71.5,0
65.6,13.6,68.6,5.24,26.5,2
211.5,61.8,170.9,6.7,78.9,0
88.6,27.2,44.8,4.55,15.9,2
204.6,79.8,157.0,6.41,77.5,0
34.6,18.0,58.1,4.54,37.7,2
168.1,56.8,113.6,5.74,54.5,1
91.4,24.6,64.7,4.55,15.2,2
70.9,10.5,52.6,4.83,30.9,2
73.1,10.3,32.9,5.29,21.0,2
206.7,76.2,188.1,6.64,68.7,0
69.2,28.4,47.4,5.26,16.5,2
197.2,64.0,174.6,6.05,71.6,0
79.3,8.6,47.0,4.82,17.3,2
131.4,32.5,122.6,5.55,46.6,1
147.5,51.6,114.9,5.75,41.3,1
118.4,17.3,79.8,7.86,36.5,2
65.5,15.3,36.3,5.19,20.4,2
41.9,27.6,27.3,5.29,38.3,2
197.0,66.9,168.6,6.79,60.8,0
206.4,73.8,192.5,6.2,69.8,0
209.5,78.7,196.3,6.36,62.3,0
134.2,31.3,91.4,5.68,44.0,1
32.2,16.7,45.4,5.04,39.0,2
160.0,43.0,133.6,5.53,49.3,1
46.5,6.6,77.5,5.24,35.5,2
165.0,54.9,143.2,5.67,46.1,1
72.4,28.2,23.0,5.3,28.8,2
26.1,13.5,52.5,4.86,35.0,2
198.7,68.3,163.7,6.05,77.3,0
167.0,51.1,86.6,5.67,40.6,1
140.9,42.8,90.2,5.63,48.2,1
186.2,61.2,193.3,6.48,74.2,0
77.5,14.2,40.6,7.59,49.3,2
111.9,26.6,72.1,7.28,25.0,2
177.2,52.0,91.2,5.69,53.6,1
184.1,78.1,175.3,6.66,66.4,0
199.0,77.2,192.2,6.26,76.6,0
207.1,60.3,175.6,6.18,72.9,0
53.1,9.0,71.9,5.0,20.6,2
152.0,52.2,138.4,5.75,41.7,1
170.3,32.3,130.5,5.57,56.3,1
108.2,41.2,113.6,5.76,58.1,1
177.4,47.5,120.2,5.8,55.4,1
199.7,60.2,173.4,6.05,62.4,0
105.4,30.7,89.3,5.89,50.4,1
78.6,5.6,40.9,5.2,28.5,2
173.2,36.6,123.8,5.59,46.1,1
104.9,44.8,148.8,5.83,51.7,1
59.7,22.6,76.5,4.7,36.3,2
210.8,73.7,172.3,6.22,79.9,0
201.7,62.8,190.1,6.06,79.7,0
107.6,30.7,124.3,5.74,50.4,1
73.1,24.1,34.8,5.06,28.7,2
163.6,37.8,136.9,5.7,41.5,1
185.3,74.3,195.5,6.14,64.8,0
189.0,69.0,157.0,6.14,70.0,0
87.1,9.7,27.4,5.37,17.6,2
88.2,16.1,57.5,7.77,34.5,2
61.0,19.6,34.5,4.55,24.4,2
78.0,13.2,48.2,5.34,23.0,2
112.6,30.7,132.2,5.68,45.5,1
50.4,24.5,47.4,7.38,47.8,2
154.7,33.9,100.7,5.64,55.3,1
21.0,18.0,70.2,5.36,28.6,2
188.8,61.6,184.0,6.52,65.5,0
138.0,49.2,88.2,5.62,47.6,1
58.2,14.2,69.5,4.63,27.1,2
119.5,48.6,126.0,5.57,50.7,1
65.9,28.8,64.6,4.9,32.0,2
180.4,62.7,195.0,6.7,71.9,0
23.1,11.5,20.4,5.38,38.2,2
36.7,25.7,72.3,4.68,32.7,2
121.8,38.9,134.4,5.68,55.2,1
83.7,25.6,78.9,4.72,16.0,2
127.6,33.2,135.8,5.88,41.4,1
181.2,60.7,191.1,6.29,62.5,0
151.5,54.5,127.8,5.67,52.8,1
162.6,56.3,145.1,5.88,49.9,1
32.9,22.6,32.3,4.55,28.3,2
57.2,20.9,64.3,5.18,28.9,2
190.8,76.0,165.5,6.36,60.2,0
190.0,68.2,187.8,6.18,61.5,0
133.5,49.4,86.6,5.75,48.6,1
100.6,36.4,82.5,5.54,46.4,1
208.3,63.1,178.8,6.49,68.5,0
186.5,67.8,198.5,6.21,73.1,0
107.9,10.0,58.5,7.32,27.0,2
195.3,70.4,152.3,6.13,74.8,0
107.3,47.1,113.2,5.76,41.2,1
85.1,14.5,29.2,5.16,23.7,2
162.1,35.8,97.8,5.57,46.3,1
111.0,42.9,123.2,5.7,47.6,1
178.6,31.7,128.0,5.89,44.5,1
71.9,28.3,53.2,5.14,16.6,2
156.0,33.1,119.1,5.6,58.3,1
47.7,13.9,24.1,4.83,26.1,2
183.5,70.7,179.3,6.6,68.6,0
72.3,16.6,20.3,5.22,33.5,2
67.8,10.3,56.9,5.01,19.4,2
194.1,71.7,153.9,6.78,79.7,0
161.3,49.0,92.2,5.72,58.7,1
208.0,61.5,191.1,6.56,61.6,0
148.3,38.1,94.3,5.71,40.1,1
102.9,38.8,98.2,5.64,41.7,1
191.9,64.7,152.1,6.01,79.8,0
120.4,31.7,121.7,5.77,42.2,1
198.4,64.1,168.2,6.4,73.8,0
75.8,19.6,38.5,4.74,29.3,2
181.3,72.7,165.7,6.41,78.2,0
42.6,24.3,78.8,4.53,36.5,2
205.7,60.5,179.3,6.75,71.5,0
212.5,80.0,199.8,6.44,75.4,0
214.7,71.6,171.9,6.58,69.7,0
26.4,27.5,64.6,5.03,34.9,2
166.1,38.1,124.4,5.78,49.7,1
204.5,68.4,196.6,6.69,60.9,0
